policy,seeds,n,p50_med,p90_med,p95_med,p99_med,mean_med,p50_min,p90_min,p95_min,p99_min,p50_max,p90_max,p95_max,p99_max
SafeTail-2.0 (shipped),1,14723,39.882709,59.878351,75.66033739999997,115.63972692,44.43716234592135,39.882709,59.878351,75.66033739999997,115.63972692,39.882709,59.878351,75.66033739999997,115.63972692
MinLoad-1,1,14723,52.078351,121.4109578000001,137.8796992,164.81890024000003,65.76469581559465,52.078351,121.4109578000001,137.8796992,164.81890024000003,52.078351,121.4109578000001,137.8796992,164.81890024000003
MinLoad-2,1,14723,42.085393,81.978351,99.63039299999997,127.31890024000002,47.08073836439584,42.085393,81.978351,99.63039299999997,127.31890024000002,42.085393,81.978351,99.63039299999997,127.31890024000002
MinLoad-3,1,14723,31.877001,49.928351,54.288212,81.67249042000002,37.086805617197584,31.877001,49.928351,54.288212,81.67249042000002,31.877001,49.928351,54.288212,81.67249042000002
MinProp-1,1,14723,30.329849,47.976235400000014,50.80721079999999,66.47526946,35.597045651973104,30.329849,47.976235400000014,50.80721079999999,66.47526946,30.329849,47.976235400000014,50.80721079999999,66.47526946
MinProp-2,1,14723,29.929849,46.628351,49.078351,53.367351000000035,34.551496415812,29.929849,46.628351,49.078351,53.367351000000035,29.929849,46.628351,49.078351,53.367351000000035
MinProp-3,1,14723,29.879849,46.678351,49.177293199999994,56.307351120000064,34.766543181348915,29.879849,46.678351,49.177293199999994,56.307351120000064,29.879849,46.678351,49.177293199999994,56.307351120000064
Rand-1,1,14723,64.778351,125.8295494,140.5839306,165.37951944,73.16043492392855,64.778351,125.8295494,140.5839306,165.37951944,64.778351,125.8295494,140.5839306,165.37951944
Rand-2,1,14723,44.570769,89.126748,103.88686029999994,125.27668296,50.519103888541736,44.570769,89.126748,103.88686029999994,125.27668296,44.570769,89.126748,103.88686029999994,125.27668296
Rand-3,1,14723,36.077001,57.633984600000005,72.36372869999998,102.98871526,40.87609067058344,36.077001,57.633984600000005,72.36372869999998,102.98871526,36.077001,57.633984600000005,72.36372869999998,102.98871526
SafeTail-1.0,3,14723,41.67002,69.48341480000002,89.72166990000001,122.59079168000001,45.366757217143245,40.82002,67.378351,88.93335929999999,116.46995560000003,41.770769,77.66168620000003,97.2188626,127.74010440000009
Oracle,3,14723,30.42002,47.770769,49.528351,52.44643212000007,34.883373461251104,30.37177,47.678351,49.5271245,52.41735100000003,30.492696,47.878351,49.628351,52.570769
SafeTail-2.0 (rerun),3,14723,31.842696,52.378351,73.2414219999999,119.6299321400001,39.59890449996604,31.52002,51.55369,70.22335099999998,114.79732278000004,76.143138,137.30769540000003,152.78537699999998,177.91982240000004
SafeTail-1.0 (slowpath s0),1,14723,39.786326,61.978351,85.8355285,119.84985282000005,44.36317265828975,39.786326,61.978351,85.8355285,119.84985282000005,39.786326,61.978351,85.8355285,119.84985282000005
